ville,historic,building,amenity,tourism,name,name:ar,lat,lon,surface_m2
Tunis,,mosque,,,,,36.455049709396526,10.72363038618691,1883.2764361844038
Tunis,,mosque,,,,,36.75807069790794,10.222635005706953,1960.6754466102445
Tunis,,mosque,place_of_worship,,,,35.77667705069329,10.830861372152137,542.1978980165468
Tunis,,mosque,place_of_worship,,,,33.61770635787366,10.290120863156808,1803.7093568013393
Tunis,archaeological_site,,,,موستي,موستي,36.33680529977932,9.143544577964212,200749.12480929113
Tunis,,yes,place_of_worship,,Grand Mosquée,,33.50387688126857,11.112166127982109,842.1352650751103
Tunis,,mosque,place_of_worship,,Mosquée Errahma,,36.372318388351935,9.901541236255643,2073.9866879526135
Tunis,,mosque,,,,,36.84996965076966,10.177160988537874,2163.443361214027
Tunis,,mosque,,,,,36.55006524128839,9.446495492473593,249.1768280946794
Tunis,castle,yes,arts_centre,,Club Culturel Taher Haddad,,36.80208243191586,10.168168657325518,271.0823419457238
Tunis,building,yes,,,قصر المرابطين,قصر المرابطين,33.03201333009691,10.377144316124328,886.6658990300671
Tunis,ruins,yes,,,Ksar el Ferch,,33.00656917465386,10.34295048877,4046.0248536207164
Tunis,building,yes,,,,,33.876471087195625,10.857966034729237,658.9478656433029
Tunis,,yes,place_of_worship,,مسجد ابو لبابة الأنصاري,مسجد ابو لبابة الأنصاري,33.869008087256745,10.091498277121103,2723.4636455950563
Tunis,,mosque,,,مالك إبن أنس,,36.85936896228506,10.329121518787733,5280.6874066822775
Tunis,,yes,place_of_worship,,,,36.86006389951516,10.190452613986164,1352.317723483896
Tunis,ruins,yes,,,Ksar Aouadid,,32.85478603260951,10.47108156102705,811.8531271774439
Tunis,castle,yes,,,Ksar Ouled Aoun,قصر أولاد عون,32.86377382495174,10.472127524312855,742.7492013770127
Tunis,ruins,yes,,,قصر أولاد عبد السيد,قصر أولاد عبد السيد,32.8075099301799,10.481408154581985,695.6771591276249
Tunis,ruins,yes,,,Ksar Tounket,,32.88219942168366,10.498467971418338,631.8730341196192
Tunis,,yes,place_of_worship,,الجامع الكبير جارة,الجامع الكبير جارة,33.888556166839216,10.095766824470248,1927.6902845490094
Tunis,,yes,place_of_worship,,,,33.25098100036477,10.20056165457945,338.6680627231031
Tunis,ruins,yes,,,Ksar Daghra,قصر دغارة,32.84776250012033,10.467715249884128,1141.7084884260394
Tunis,ruins,yes,,,,,32.98746106558415,10.251267436467387,5055.394007561787
Tunis,,yes,place_of_worship,,مسجد إبراهيم جمني,مسجد إبراهيم جمني,33.87708102289049,10.860015705132428,668.5716726733567
Tunis,ruins,,,,Ksar Boulassouar,,33.31745400509783,10.141595456484152,496.37674001549885
Tunis,,yes,place_of_worship,,,,33.70446379083345,10.26479135991652,644.3694638746309
Tunis,,yes,place_of_worship,,Mosquée Meriem,,35.166396597189994,8.787296189284254,1517.4410119172942
Tunis,,mosque,place_of_worship,,مسجد الهداية 2,مسجد الهداية 2,35.564378031492,8.446207717764572,669.9772600589207
Tunis,,yes,place_of_worship,,Mosquée Bechechma,,35.83987609279754,10.17907206321787,683.3616528934353
Tunis,fort,yes,,,رباط سوسة,رباط سوسة,35.827646501648545,10.638746280878044,1255.581541192309
Tunis,castle,fort,,,الرباط,الرباط,35.67619369812055,10.882028939431914,585.8844007225043
Tunis,fort,fort,,,,,35.77473485245234,10.832437067300464,900.2183743311839
Tunis,,yes,place_of_worship,,زاوية سيدي عمار,,36.859184594285,10.190706676686297,667.4653174082252
Tunis,citywalls,,,attraction,مدينة صفاقس العتيقة,مدينة صفاقس العتيقة,34.73592540574669,10.760662315131626,234574.32279497536
Tunis,monument,,,,برج النار,برج النار,34.735455815239945,10.764388787477836,600.608000338766
Tunis,ruins,,,,Ksar El Rosfa,,33.053394545006,10.334645820826287,11414.470859600005
Tunis,,yes,place_of_worship,,,,32.69502085271886,10.330028920305992,689.4791909622795
Tunis,archaeological_site,,,,Ghar El Kebir,,37.058683735142196,10.996724999183035,61166.2455147248
Tunis,castle,yes,,,Borj LaHssar,,34.71038607143255,11.15349495959181,415.9861059603619
Tunis,castle,yes,,,,قصبة,36.394514449565804,10.612345765775588,1431.8488331530673
Tunis,building,yes,,,Hôtel Erriadh,,33.87678864670841,10.8587403458776,527.0160712009266
Tunis,ruins,,,,قصر الحلوف,قصر الحلوف,33.29124093913618,10.157273191388052,7322.030466160804
Tunis,archaeological_site,,,,Djebel Oust archaeological site;grande cisterne,,36.53367605026619,10.07081570723808,69451.21308866158
Tunis,building,yes,,,Madrassa Sidi Moussa Jomani,,33.54397603853258,9.973179752502109,794.1868947397857
Tunis,,yes,place_of_worship,,مسجد السماعلة,مسجد السماعلة,33.54042975209857,9.966761483387408,224.48746409996886
Tunis,castle,yes,,,Fort de Mahdia,,35.50528313688658,11.076268223019479,2948.757348876674
Tunis,,yes,place_of_worship,,Mosquée Bourguiba,,35.774331268303705,10.83045390417256,1879.0187636218552
Tunis,castle,yes,,,القصبة,القصبة,35.82218786957721,10.635555860501702,3697.985306440488
Tunis,,yes,,museum,Museum El-Kobba,,35.82508888154551,10.638168103871504,517.6139548172042
Tunis,,yes,place_of_worship,,Ajjamaa Elkebir,,34.414881056361295,8.78556480814338,1569.0755334299947
Tunis,,mosque,,,,,37.26628705403462,9.87640498389897,2480.1158884790007
Tunis,,mosque,,,,,37.25060488178026,9.881408831334923,1694.6344687728367
Tunis,castle,yes,,,Fort d'Espagne,,37.28115161709111,9.870710303866302,2351.4236716864075
Tunis,castle,yes,,,Jebel Kebir Fort,,37.298251077851596,9.828945106947302,9449.257899952341
Tunis,,yes,place_of_worship,,,,37.25653669697136,9.84037051733588,1676.2940333798863
Tunis,,yes,place_of_worship,,,,35.729214787064585,10.579566807334812,3212.3853517954003
Tunis,,yes,place_of_worship,,,,35.707449193865905,10.670093630034636,1845.198044294023
Tunis,,yes,place_of_worship,,,,35.65487503296345,10.098350912549996,1053.746519511585
Tunis,,mosque,,,,,33.34439181109895,10.493272801534864,1389.8935275715826
Tunis,,yes,place_of_worship,,,,36.28267119219082,10.474797938169761,831.0605017642014
Tunis,building,yes,,,La Ghriba Caravansérail,خان الغريبة,33.81389835438848,10.858826860517562,2389.3028858678476
Tunis,fort,yes,,,قلعة الشكلي,قلعة الشكلي,36.816574858827494,10.217126408121413,1469.0459200975015
Tunis,monument,cathedral,,,Cathédrale Saint Louis,كاتدرائية القديس لويس,36.853685412459825,10.323380082644544,1627.2493734031455
Tunis,archaeological_site,,,,حي ماغون,حي ماغون,36.85118637658668,10.331293963564567,7299.8955505083095
Tunis,archaeological_site,,,,الحمامات أنطونيس العامة,الحمامات أنطونيس العامة,36.85472161190038,10.333959588743333,76239.55542846576
Tunis,ruins,,,,Edifice des Colonnes,,36.85653712375901,10.325232045372722,3900.8794381321795
Tunis,archaeological_site,,,,Amphithéâtre de Carthage,,36.8561856790194,10.315033888036371,7059.120886523662
Tunis,ruins,,,,نصب دائري,نصب دائري,36.857816064893015,10.327850389710866,15321.537631745763
Tunis,ruins,,,attraction,Rotonde de Damous el Karita,,36.861029290745556,10.330044157113905,3277.4427472155985
Tunis,ruins,,,,Basilique Saint Cyprian,,36.86391929170218,10.337391920772884,742.3973974102157
Tunis,,yes,place_of_worship,,Sahloul,,35.835955541270685,10.596069241526044,2558.930980695795
Tunis,,yes,place_of_worship,,جامع التوبة الحاجب,جامع التوبة الحاجب,34.71855042025574,10.648081484256075,1041.1495248881067
Tunis,archaeological_site,,,,Colline de Byrsa,,36.85267330960543,10.32354221992808,51315.57769433215
Tunis,castle,,,attraction,رباط المنستير,رباط المنستير,35.77615994576198,10.832913777529411,4954.352248207505
Tunis,archaeological_site,,,attraction,كركوان,كركوان,36.94591990117053,11.099150557202131,101831.80826575293
Tunis,,,place_of_worship,,جامع الملك عبد العزيز عبد الرحمان آل سعود,جامع الملك عبد العزيز عبد الرحمان آل سعود,36.838692302024576,10.157551596338541,1527.6647164769645
Tunis,,yes,place_of_worship,,جامع الهداية,جامع الهداية,34.78225089721775,10.727548635171065,1242.5956081037014
